0	105.093
1	93.9903
2	97.1624
3	87.9979
4	84.728
5	88.4049
6	76.7845
7	77.2443
8	68.8603
9	79.3775
10	75.6991
11	76.8234
12	84.9827
13	90.7251
14	80.5342
15	81.2916
16	82.0159
17	71.559
18	69.0133
19	86.1064
20	89.9633
21	85.7138
22	80.6105
23	95.955
24	91.8851
25	94.4854
26	87.9147
27	77.4692
28	73.2788
29	58.8405
30	60.7339
31	63.0437
32	61.3431
33	52.2812
34	51.1758
35	44.9235
36	51.5881
37	53.7274
38	57.8021
39	59.2525
40	55.8334
41	48.0788
42	46.3151
43	42.3583
44	39.5516
45	38.6174
46	33.9552
47	30.8314
48	28.1325
49	23.9494
50	26.7337
51	28.0944
52	25.9671
53	29.2611
54	32.8273
55	33.2206
56	33.4373
57	33.6183
58	34.1178
59	29.9712
60	29.3537
61	31.199
62	28.9327
63	26.5215
64	27.9898
65	28.6027
66	31.2318
67	29.6867
68	29.9605
69	26.9802
70	24.0452
71	23.0629
72	21.7884
73	24.5963
74	30.4162
75	32.7309
76	31.92
77	28.1436
78	27.8857
79	27.0539
80	26.0303
81	26.4269
82	27.3677
83	32.7725
84	32.6358
85	31.0776
86	31.8093
87	25.8642
88	23.8922
89	24.9034
90	22.0419
91	22.4443
92	24.4041
93	23.0206
94	22.6841
95	21.9175
96	20.2465
97	18.191
98	18.0539
99	15.3515
100	17.65
